시도,시군구,00시-02시,02시-04시,04시-06시,06시-08시,08시-10시,10시-12시,12시-14시,14시-16시,16시-18시,18시-20시,20시-22시,22시-24시,계,일,월,화,수,목,금,토,01월,02월,03월,04월,05월,06월,07월,08월,09월,10월,11월,12월,경찰청,경찰서,지구대파출소치안센터,면적 (km²),구성비 (%)
서울,종로구,8,5,3,5,6,2,2,0,2,2,8,9,52,12,12,9,2,4,7,6,3,3,2,7,4,5,4,3,4,5,5,7,1,2,22,23.9132228,3.95
서울,마포구,20,12,10,10,9,1,4,2,3,6,9,18,104,19,13,11,11,21,11,18,14,8,3,8,10,6,6,12,11,9,8,9,0,1,11,23.8539657,3.94
서울,강서구,12,12,4,7,6,4,3,3,5,5,14,14,89,10,5,15,15,18,13,13,6,9,10,14,4,9,8,3,6,8,5,7,0,1,13,41.4519539,6.85
서울,구로구,15,6,8,4,6,5,6,1,5,11,17,10,94,11,15,12,9,19,12,16,9,7,7,6,6,7,4,11,8,11,8,10,0,1,13,20.1229083,3.32
서울,영등포구,18,11,7,11,7,2,2,1,5,9,15,23,111,12,13,21,9,22,14,20,8,9,6,10,7,9,8,9,15,11,6,13,0,1,12,24.5511941,4.06
서울,동작구,12,5,2,6,7,1,1,0,0,2,7,15,58,9,6,7,5,7,9,15,8,4,5,9,1,1,5,4,8,5,6,2,0,1,9,16.3568629,2.7
서울,관악구,12,9,10,7,5,1,4,0,2,6,9,11,76,11,11,13,8,10,10,13,8,11,8,10,7,5,5,2,5,8,4,3,0,1,11,29.5683689,4.89
서울,강남구,47,32,23,15,22,11,9,3,8,7,27,59,263,21,32,31,40,45,42,52,30,18,22,26,20,18,21,21,11,23,20,33,0,2,17,39.4975971,6.53
서울,강동구,9,6,4,4,1,3,1,2,4,2,7,11,54,6,4,2,8,11,10,13,5,4,7,7,4,4,5,3,7,3,3,2,0,1,9,24.5903827,4.06
서울,송파구,20,23,10,8,4,5,4,8,3,13,15,32,145,15,13,26,25,25,20,21,21,12,11,7,10,15,14,8,11,12,8,16,0,1,13,33.876575,5.6
서울,서초구,26,20,12,8,13,7,3,3,4,11,21,31,159,26,16,16,21,22,33,25,11,18,18,10,8,9,16,11,21,9,15,13,0,2,15,46.9659586,7.76
서울,중구,6,6,1,2,3,1,0,1,2,3,7,5,37,7,5,2,6,6,5,6,3,4,5,3,1,0,6,0,5,4,3,3,0,2,16,9.9599474,1.65
서울,양천구,9,3,7,4,6,3,2,2,2,7,8,12,65,13,4,5,10,7,12,14,3,7,3,6,4,4,4,8,6,4,5,11,0,1,9,17.4060397,2.88
서울,중랑구,5,7,6,2,5,2,2,2,4,6,7,9,57,5,7,9,6,8,13,9,4,8,3,4,8,5,6,4,5,4,3,3,0,1,9,18.4971346,3.06
서울,노원구,11,7,6,6,7,4,2,3,4,10,6,13,79,17,9,5,11,9,13,15,7,4,9,4,7,8,2,7,6,4,10,11,0,1,9,35.439122,5.86
서울,광진구,7,4,4,4,3,3,2,1,4,2,14,9,57,10,5,6,8,10,11,7,5,1,3,3,7,8,8,4,5,6,1,6,0,1,12,17.0628201,2.82
서울,강북구,4,7,4,0,3,0,0,0,1,4,5,8,36,7,5,5,4,3,5,7,1,3,4,6,3,5,2,5,2,2,1,2,0,1,12,23.6004081,3.9
서울,금천구,12,3,1,1,0,2,1,1,4,8,15,13,61,9,8,7,6,11,11,9,7,8,6,5,2,4,8,7,5,1,5,3,0,1,7,13.0205276,2.15
서울,용산구,10,6,6,3,3,2,1,3,0,5,13,12,64,7,8,5,14,10,8,12,7,2,1,5,2,6,7,7,4,4,8,11,0,1,11,21.8675774,3.61
서울,성동구,8,2,5,3,1,3,4,3,2,4,3,12,50,5,6,9,5,2,13,10,6,6,2,5,3,5,2,3,5,1,6,6,0,1,10,16.820149,2.78
서울,동대문구,6,5,8,3,4,2,3,3,2,2,8,10,56,10,3,5,6,9,13,10,2,3,7,8,6,3,5,1,2,3,8,8,0,1,13,14.2159122,2.35
서울,성북구,6,1,3,2,3,1,1,1,2,4,6,7,37,5,6,4,5,3,9,5,4,3,0,2,5,2,1,4,2,3,4,7,0,2,14,24.5779176,4.06
서울,도봉구,6,5,4,3,4,0,1,1,3,4,4,9,44,9,2,6,5,12,3,7,5,2,4,3,3,4,5,4,6,1,3,4,0,1,9,20.65101,3.41
서울,은평구,9,6,7,5,2,0,1,4,3,6,5,8,56,5,9,9,5,7,6,15,4,4,5,5,4,3,2,5,5,5,9,5,0,2,13,29.7101543,4.91
서울,서대문구,7,3,8,2,1,0,1,0,0,1,4,7,34,5,6,6,3,8,0,6,3,1,2,2,3,4,0,3,6,2,7,1,1,1,9,17.62632,2.91
